date,channel,conversions,revenue
2025-02-27,Meta Ads,263,21422.01
2025-02-27,LinkedIn Ads,118,26814.6
2025-02-27,Email Marketing,31,1976.47
2025-02-27,Affiliate Partners,96,7031.98
2025-02-28,Google Ads,255,28552.34
2025-02-28,Meta Ads,123,9721.39
2025-02-28,LinkedIn Ads,80,20822.61
2025-02-28,Email Marketing,238,16033.24
2025-02-28,Affiliate Partners,58,4725.32
2025-03-01,Google Ads,204,22280.37
2025-03-01,Meta Ads,385,33525.62
2025-03-01,LinkedIn Ads,27,6787.16
2025-03-01,Email Marketing,109,7439.97
2025-03-01,Affiliate Partners,230,23844.51
2025-03-02,Google Ads,355,47228.25
2025-03-02,Meta Ads,103,7896.12
2025-03-02,LinkedIn Ads,77,20261.83
2025-03-02,Email Marketing,209,12736.52
2025-03-02,Affiliate Partners,274,15181.72
2025-03-03,Google Ads,291,39270.03
2025-03-03,Meta Ads,166,16534.79
2025-03-03,LinkedIn Ads,50,12743.04
2025-03-03,Email Marketing,156,11119.39
2025-03-03,Affiliate Partners,184,14204.17
2025-03-04,Google Ads,318,43912.59
2025-03-04,Meta Ads,155,15035.01
2025-03-04,LinkedIn Ads,81,19097.07
2025-03-04,Email Marketing,116,9742.01
2025-03-04,Affiliate Partners,201,19503.89
2025-03-05,Google Ads,253,27230.97
2025-03-05,Meta Ads,66,5416.31
2025-03-05,LinkedIn Ads,43,11538.89
2025-03-05,Email Marketing,188,14154.06
2025-03-05,Affiliate Partners,204,10748.95
2025-03-06,Google Ads,332,30316.97
2025-03-06,Meta Ads,535,37169.27
2025-03-06,LinkedIn Ads,130,34277.16
2025-03-06,Email Marketing,55,4892.56
2025-03-06,Affiliate Partners,58,5112.83
2025-03-07,Google Ads,69,8553.26
2025-03-07,Meta Ads,258,26054.74
2025-03-07,LinkedIn Ads,111,24994.61
2025-03-07,Email Marketing,150,10223.9
2025-03-07,Affiliate Partners,96,6052.51
2025-03-08,Google Ads,451,64378.41
2025-03-08,Meta Ads,114,10383.18
2025-03-08,LinkedIn Ads,71,16736.21
2025-03-08,Email Marketing,90,6647.97
2025-03-08,Affiliate Partners,119,10116.5
2025-03-09,Google Ads,234,21383.6
2025-03-09,Meta Ads,223,18686.49
2025-03-09,LinkedIn Ads,78,20151.17
2025-03-09,Email Marketing,167,12907.52
2025-03-09,Affiliate Partners,218,20980.4
2025-03-10,Google Ads,201,23837.69
2025-03-10,Meta Ads,212,14986.82
2025-03-10,LinkedIn Ads,26,6272.4
2025-03-10,Email Marketing,83,3918.41
2025-03-10,Affiliate Partners,127,9300.54
2025-03-11,Google Ads,431,59479.69
2025-03-11,Meta Ads,256,21460.12
2025-03-11,LinkedIn Ads,212,47054.22
2025-03-11,Email Marketing,163,11875.59
2025-03-11,Affiliate Partners,250,18088.22
2025-03-12,Google Ads,345,28522.91
2025-03-12,Meta Ads,191,18489.3
2025-03-12,LinkedIn Ads,30,7526.54
2025-03-12,Email Marketing,227,14723.62
2025-03-12,Affiliate Partners,131,8588.23
2025-03-13,Google Ads,233,30092.71
2025-03-13,Meta Ads,244,19813.3
2025-03-13,LinkedIn Ads,196,51100.95
2025-03-13,Email Marketing,84,7340.43
2025-03-13,Affiliate Partners,109,9415.68
2025-03-14,Google Ads,400,39769.96
2025-03-14,Meta Ads,280,23988.1
2025-03-14,LinkedIn Ads,33,9108.79
2025-03-14,Email Marketing,49,3021.67
2025-03-14,Affiliate Partners,219,13570.94
2025-03-15,Google Ads,392,48906.63
2025-03-15,Meta Ads,135,11960.89
2025-03-15,LinkedIn Ads,32,7273.05
2025-03-15,Email Marketing,89,8572.84
2025-03-15,Affiliate Partners,108,9004.93
2025-03-16,Google Ads,419,42302.26
2025-03-16,Meta Ads,161,14978.62
2025-03-16,LinkedIn Ads,100,23900.45
2025-03-16,Email Marketing,39,3183.47
2025-03-16,Affiliate Partners,150,12526.56
2025-03-17,Google Ads,345,47612.75
2025-03-17,Meta Ads,383,23169.18
2025-03-17,LinkedIn Ads,100,24721.23
2025-03-17,Email Marketing,131,9058.8
2025-03-17,Affiliate Partners,72,3652.81
2025-03-18,Google Ads,208,19287.9
2025-03-18,Meta Ads,213,18868.2
2025-03-18,LinkedIn Ads,85,20148.55
2025-03-18,Email Marketing,27,2311.9
2025-03-18,Affiliate Partners,118,9210.75
2025-03-19,Google Ads,288,31506.22
2025-03-19,Meta Ads,227,26046.48
2025-03-19,LinkedIn Ads,71,16972.97
2025-03-19,Email Marketing,58,2934.97
2025-03-19,Affiliate Partners,164,14228.48
2025-03-20,Google Ads,74,7590.42
2025-03-20,Meta Ads,86,7351.89
2025-03-20,LinkedIn Ads,69,17652.59
2025-03-20,Email Marketing,44,2951.78
2025-03-20,Affiliate Partners,171,16369.93
2025-03-21,Google Ads,291,32809.25
2025-03-21,Meta Ads,343,33397.26
2025-03-21,LinkedIn Ads,101,25038.81
2025-03-21,Email Marketing,151,6245.31
2025-03-21,Affiliate Partners,230,18650.75
2025-03-22,Google Ads,230,27292.14
2025-03-22,Meta Ads,205,13126.56
2025-03-22,LinkedIn Ads,137,34334.92
2025-03-22,Email Marketing,122,10281.34
2025-03-22,Affiliate Partners,129,11236.17
2025-03-23,Google Ads,89,11810.44
2025-03-23,Meta Ads,235,20800.69
2025-03-23,LinkedIn Ads,54,13850.13
2025-03-23,Email Marketing,49,2909.89
2025-03-23,Affiliate Partners,144,11280.96
2025-03-24,Google Ads,555,73609.51
2025-03-24,Meta Ads,212,9835.78
2025-03-24,LinkedIn Ads,77,18050.48
2025-03-24,Email Marketing,79,4063.65
2025-03-24,Affiliate Partners,237,23683.32
2025-03-25,Google Ads,178,19740.64
2025-03-25,Meta Ads,245,20362.84
2025-03-25,LinkedIn Ads,87,20243.56
2025-03-25,Email Marketing,70,4490.58
2025-03-25,Affiliate Partners,99,7776.51
2025-03-26,Google Ads,154,16295.33
2025-03-26,Meta Ads,354,24866.03
2025-03-26,LinkedIn Ads,120,28196.01
2025-03-26,Email Marketing,47,2255.92
2025-03-26,Affiliate Partners,83,7854.26
2025-03-27,Google Ads,311,41884.34
2025-03-27,Meta Ads,356,26146.4
2025-03-27,LinkedIn Ads,173,41225.38
2025-03-27,Email Marketing,39,2029.88
2025-03-27,Affiliate Partners,246,22975.0
2025-03-28,Google Ads,370,42126.24
2025-03-28,Meta Ads,78,9689.53
2025-03-28,LinkedIn Ads,86,19519.8
2025-03-28,Email Marketing,114,9198.74
2025-03-28,Affiliate Partners,143,10641.38
2025-03-29,Google Ads,187,22959.42
2025-03-29,Meta Ads,150,14000.15
2025-03-29,LinkedIn Ads,240,56571.66
2025-03-29,Email Marketing,114,6658.75
2025-03-29,Affiliate Partners,248,23189.48
2025-03-30,Google Ads,370,50968.39
2025-03-30,Meta Ads,232,26681.94
2025-03-30,LinkedIn Ads,75,19577.57
2025-03-30,Email Marketing,119,5372.93
2025-03-30,Affiliate Partners,211,14552.76
2025-03-31,Google Ads,430,44826.59
2025-03-31,Meta Ads,455,50303.91
2025-03-31,LinkedIn Ads,83,21103.27
2025-03-31,Email Marketing,39,2234.59
2025-03-31,Affiliate Partners,124,11369.59
2025-04-01,Google Ads,356,40488.36
2025-04-01,Meta Ads,84,6210.73
2025-04-01,LinkedIn Ads,163,37619.29
2025-04-01,Email Marketing,160,13617.87
2025-04-01,Affiliate Partners,33,2731.43
2025-04-02,Google Ads,402,48315.37
2025-04-02,Meta Ads,479,31121.11
2025-04-02,LinkedIn Ads,243,60120.14
2025-04-02,Email Marketing,146,11186.46
2025-04-02,Affiliate Partners,147,12264.94
2025-04-03,Google Ads,154,19873.5
2025-04-03,Meta Ads,126,12547.07
2025-04-03,LinkedIn Ads,102,26062.46
2025-04-03,Email Marketing,112,6359.81
2025-04-03,Affiliate Partners,103,10073.5
2025-04-04,Google Ads,264,30737.08
2025-04-04,Meta Ads,134,10241.73
2025-04-04,LinkedIn Ads,151,39257.17
2025-04-04,Email Marketing,86,4886.96
2025-04-04,Affiliate Partners,290,24206.79
2025-04-05,Google Ads,174,20317.11
2025-04-05,Meta Ads,178,18373.36
2025-04-05,LinkedIn Ads,65,15356.63
2025-04-05,Email Marketing,109,9543.27
2025-04-05,Affiliate Partners,138,11204.77
2025-04-06,Google Ads,228,24412.98
2025-04-06,Meta Ads,91,5252.0
2025-04-06,LinkedIn Ads,76,17219.9
2025-04-06,Email Marketing,90,5854.34
2025-04-06,Affiliate Partners,232,16375.49
2025-04-07,Google Ads,308,43513.61
2025-04-07,Meta Ads,343,37439.99
2025-04-07,LinkedIn Ads,40,9275.79
2025-04-07,Email Marketing,122,11607.8
2025-04-07,Affiliate Partners,79,4953.28
2025-04-08,Google Ads,186,23264.56
2025-04-08,Meta Ads,292,27228.82
2025-04-08,LinkedIn Ads,37,9860.96
2025-04-08,Email Marketing,227,17701.48
2025-04-08,Affiliate Partners,159,16920.43
2025-04-09,Google Ads,445,45510.99
2025-04-09,Meta Ads,191,23166.52
2025-04-09,LinkedIn Ads,43,10516.86
2025-04-09,Email Marketing,74,5120.17
2025-04-09,Affiliate Partners,157,15201.98
2025-04-10,Google Ads,235,28891.36
2025-04-10,Meta Ads,262,17492.59
2025-04-10,LinkedIn Ads,79,21058.09
2025-04-10,Email Marketing,166,11614.01
2025-04-10,Affiliate Partners,66,4198.76
2025-04-11,Google Ads,292,39042.32
2025-04-11,Meta Ads,96,10929.37
2025-04-11,LinkedIn Ads,81,21950.51
2025-04-11,Email Marketing,71,3515.4
2025-04-11,Affiliate Partners,201,17595.9
2025-04-12,Google Ads,656,85667.82
2025-04-12,Meta Ads,99,7385.84
2025-04-12,LinkedIn Ads,114,26850.35
2025-04-12,Email Marketing,174,11437.76
2025-04-12,Affiliate Partners,173,15601.83
2025-04-13,Google Ads,448,50269.66
2025-04-13,Meta Ads,166,16006.51
2025-04-13,LinkedIn Ads,29,6991.69
2025-04-13,Email Marketing,32,2277.72
2025-04-13,Affiliate Partners,161,13986.48
2025-04-14,Google Ads,270,27729.0
2025-04-14,Meta Ads,96,6056.79
2025-04-14,LinkedIn Ads,77,18431.08
2025-04-14,Email Marketing,111,6894.41
2025-04-14,Affiliate Partners,158,13589.14
2025-04-15,Google Ads,155,18419.94
2025-04-15,Meta Ads,262,29282.15
2025-04-15,LinkedIn Ads,121,27195.97
2025-04-15,Email Marketing,110,7238.31
2025-04-15,Affiliate Partners,81,7094.75
2025-04-16,Google Ads,458,69833.94
2025-04-16,Meta Ads,89,8293.79
2025-04-16,LinkedIn Ads,33,8797.42
2025-04-16,Email Marketing,28,1617.19
2025-04-16,Affiliate Partners,302,28063.21
2025-04-17,Google Ads,231,22255.71
2025-04-17,Meta Ads,278,24711.53
2025-04-17,LinkedIn Ads,46,12861.05
2025-04-17,Email Marketing,87,6749.79
2025-04-17,Affiliate Partners,161,18365.55
2025-04-18,Google Ads,423,53878.12
2025-04-18,Meta Ads,202,18772.31
2025-04-18,LinkedIn Ads,113,28988.98
2025-04-18,Email Marketing,204,16367.13
2025-04-18,Affiliate Partners,171,13109.35
2025-04-19,Google Ads,353,38786.22
2025-04-19,Meta Ads,202,24214.41
2025-04-19,LinkedIn Ads,17,4109.72
2025-04-19,Email Marketing,185,15283.04
2025-04-19,Affiliate Partners,132,8000.6
2025-04-20,Google Ads,171,18962.14
2025-04-20,Meta Ads,85,8192.95
2025-04-20,LinkedIn Ads,107,23899.5
2025-04-20,Email Marketing,123,9075.99
2025-04-20,Affiliate Partners,59,5113.12
2025-04-21,Google Ads,519,65912.06
2025-04-21,Meta Ads,257,25143.28
2025-04-21,LinkedIn Ads,113,32101.78
2025-04-21,Email Marketing,176,13834.69
2025-04-21,Affiliate Partners,84,5096.73
2025-04-22,Google Ads,360,43985.81
2025-04-22,Meta Ads,160,14738.36
2025-04-22,LinkedIn Ads,63,16407.16
2025-04-22,Email Marketing,140,9565.83
2025-04-22,Affiliate Partners,153,11350.23
2025-04-23,Google Ads,340,38364.01
2025-04-23,Meta Ads,296,26073.21
2025-04-23,LinkedIn Ads,66,13599.85
2025-04-23,Email Marketing,303,26158.46
2025-04-23,Affiliate Partners,132,10597.26
2025-04-24,Google Ads,346,50320.8
2025-04-24,Meta Ads,290,26781.62
2025-04-24,LinkedIn Ads,123,31073.4
2025-04-24,Email Marketing,157,10020.16
2025-04-24,Affiliate Partners,114,8342.72
2025-04-25,Google Ads,240,28470.96
2025-04-25,Meta Ads,224,20335.59
2025-04-25,LinkedIn Ads,60,14354.69
2025-04-25,Email Marketing,43,3640.69
2025-04-25,Affiliate Partners,123,11968.37
2025-04-26,Google Ads,203,23439.86
2025-04-26,Meta Ads,186,15731.94
2025-04-26,LinkedIn Ads,94,22075.06
2025-04-26,Email Marketing,84,7808.05
2025-04-26,Affiliate Partners,89,5885.71
2025-04-27,Google Ads,118,13581.18
2025-04-27,Meta Ads,260,25335.18
2025-04-27,LinkedIn Ads,77,19840.78
2025-04-27,Email Marketing,139,11430.32
2025-04-27,Affiliate Partners,206,15914.07
2025-04-28,Google Ads,169,23272.92
2025-04-28,Meta Ads,280,25389.94
2025-04-28,LinkedIn Ads,98,23762.38
2025-04-28,Email Marketing,56,4191.3
2025-04-28,Affiliate Partners,64,5600.23
2025-04-29,Google Ads,842,116458.97
2025-04-29,Meta Ads,206,23830.2
2025-04-29,LinkedIn Ads,42,10773.91
2025-04-29,Email Marketing,129,7490.6
2025-04-29,Affiliate Partners,134,13291.83
2025-04-30,Google Ads,120,15304.94
2025-04-30,Meta Ads,184,13894.77
2025-04-30,LinkedIn Ads,53,12787.48
2025-04-30,Email Marketing,98,6569.03
2025-04-30,Affiliate Partners,55,2888.86
2025-05-01,Google Ads,342,48721.82
2025-05-01,Meta Ads,245,21669.89
2025-05-01,LinkedIn Ads,73,20544.95
2025-05-01,Email Marketing,78,6254.37
2025-05-01,Affiliate Partners,78,6182.64
2025-05-02,Google Ads,280,34989.58
2025-05-02,Meta Ads,363,37458.43
2025-05-02,LinkedIn Ads,35,9472.66
2025-05-02,Email Marketing,69,5541.11
2025-05-02,Affiliate Partners,146,9245.64
2025-05-03,Google Ads,202,22629.69
2025-05-03,Meta Ads,120,11424.08
2025-05-03,LinkedIn Ads,119,26465.46
2025-05-03,Email Marketing,115,9154.94
2025-05-03,Affiliate Partners,41,3210.43
2025-05-04,Google Ads,185,22845.98
2025-05-04,Meta Ads,105,6000.87
2025-05-04,LinkedIn Ads,212,56047.67
2025-05-04,Email Marketing,54,3965.55
2025-05-04,Affiliate Partners,146,12171.3
2025-05-05,Google Ads,327,37780.85
2025-05-05,Meta Ads,332,31477.51
2025-05-05,LinkedIn Ads,105,24249.65
2025-05-05,Email Marketing,75,4314.05
2025-05-05,Affiliate Partners,72,4879.39
2025-05-06,Google Ads,296,44953.99
2025-05-06,Meta Ads,480,57026.65
2025-05-06,LinkedIn Ads,45,11298.1
2025-05-06,Email Marketing,113,6730.8
2025-05-06,Affiliate Partners,111,10943.91
2025-05-07,Google Ads,535,72773.74
2025-05-07,Meta Ads,209,26031.91
2025-05-07,LinkedIn Ads,87,23393.3
2025-05-07,Email Marketing,103,5706.13
2025-05-07,Affiliate Partners,149,12671.28
2025-05-08,Google Ads,353,37997.26
2025-05-08,Meta Ads,188,22700.47
2025-05-08,LinkedIn Ads,51,13348.33
2025-05-08,Email Marketing,131,7637.59
2025-05-08,Affiliate Partners,164,9800.04
2025-05-09,Google Ads,505,60857.76
