date,channel,spend,impressions,clicks
2025-01-22,LinkedIn Ads,703.97,81530,4445
2025-01-22,Email Marketing,395.16,32433,1710
2025-01-22,Affiliate Partners,451.46,52325,2258
2025-01-23,Google Ads,1584.3,87109,3409
2025-01-23,Meta Ads,1050.55,114658,2453
2025-01-23,LinkedIn Ads,705.7,41122,2541
2025-01-23,Email Marketing,350.98,33000,2397
2025-01-23,Affiliate Partners,697.54,48648,1490
2025-01-24,Google Ads,1688.89,173183,11847
2025-01-24,Meta Ads,1194.98,90868,6050
2025-01-24,LinkedIn Ads,818.77,60471,4586
2025-01-24,Email Marketing,286.94,29428,1920
2025-01-24,Affiliate Partners,731.85,41875,3105
2025-01-25,Google Ads,1891.64,136961,10098
2025-01-25,Meta Ads,1205.04,93082,1922
2025-01-25,LinkedIn Ads,851.87,99278,5401
2025-01-25,Email Marketing,292.19,27532,1291
2025-01-25,Affiliate Partners,479.28,46526,3030
2025-01-26,Google Ads,1135.74,119719,8066
2025-01-26,Meta Ads,1197.06,64676,3425
2025-01-26,LinkedIn Ads,656.44,53110,3890
2025-01-26,Email Marketing,250.47,15030,987
2025-01-26,Affiliate Partners,561.43,52367,1365
2025-01-27,Google Ads,1573.49,86688,6008
2025-01-27,Meta Ads,1078.33,107226,2667
2025-01-27,LinkedIn Ads,568.31,60749,4667
2025-01-27,Email Marketing,215.55,25655,1672
2025-01-27,Affiliate Partners,513.79,53639,2869
2025-01-28,Google Ads,1435.97,114440,8512
2025-01-28,Meta Ads,1195.44,60721,2921
2025-01-28,LinkedIn Ads,639.6,34500,935
2025-01-28,Email Marketing,319.36,32646,1795
2025-01-28,Affiliate Partners,500.73,58761,2496
2025-01-29,Google Ads,1707.04,112070,8718
2025-01-29,Meta Ads,1103.71,56124,4388
2025-01-29,LinkedIn Ads,835.85,46110,2454
2025-01-29,Email Marketing,300.76,35444,1821
2025-01-29,Affiliate Partners,774.14,63338,3651
2025-01-30,Google Ads,1787.78,162512,12037
2025-01-30,Meta Ads,1725.55,119782,3747
2025-01-30,LinkedIn Ads,670.67,55302,2278
2025-01-30,Email Marketing,254.45,30078,2381
2025-01-30,Affiliate Partners,618.05,61107,3187
2025-01-31,Google Ads,1785.13,174819,5202
2025-01-31,Meta Ads,1061.54,120766,8375
2025-01-31,LinkedIn Ads,588.76,67879,4884
2025-01-31,Email Marketing,409.89,21791,470
2025-01-31,Affiliate Partners,741.53,88323,2563
2025-02-01,Google Ads,1359.25,124492,5334
2025-02-01,Meta Ads,1172.51,92672,3373
2025-02-01,LinkedIn Ads,998.05,53841,3870
2025-02-01,Email Marketing,300.31,31181,2391
2025-02-01,Affiliate Partners,605.64,66302,2310
2025-02-02,Google Ads,1179.71,137771,7766
2025-02-02,Meta Ads,1165.83,76950,4640
2025-02-02,LinkedIn Ads,554.54,32135,1937
2025-02-02,Email Marketing,376.66,32551,2159
2025-02-02,Affiliate Partners,741.52,65723,3526
2025-02-03,Google Ads,1520.26,169304,7484
2025-02-03,Meta Ads,1354.89,134521,4409
2025-02-03,LinkedIn Ads,1018.98,60676,1266
2025-02-03,Email Marketing,363.51,28156,1302
2025-02-03,Affiliate Partners,388.95,44064,1802
2025-02-04,Google Ads,1950.71,151683,8695
2025-02-04,Meta Ads,1217.78,134401,10345
2025-02-04,LinkedIn Ads,527.46,43325,3414
2025-02-04,Email Marketing,296.67,25063,995
2025-02-04,Affiliate Partners,443.46,24528,680
2025-02-05,Google Ads,1700.9,100290,2919
2025-02-05,Meta Ads,1287.98,80797,3291
2025-02-05,LinkedIn Ads,649.62,73260,3548
2025-02-05,Email Marketing,240.86,15284,343
2025-02-05,Affiliate Partners,660.49,40834,1499
2025-02-06,Google Ads,1467.89,94595,3959
2025-02-06,Meta Ads,951.54,81108,4981
2025-02-06,LinkedIn Ads,688.04,76476,5754
2025-02-06,Email Marketing,312.84,16979,621
2025-02-06,Affiliate Partners,673.7,42386,1380
2025-02-07,Google Ads,1727.25,131155,6435
2025-02-07,Meta Ads,836.35,68896,4467
2025-02-07,LinkedIn Ads,1018.7,53550,1882
2025-02-07,Email Marketing,334.59,28713,1490
2025-02-07,Affiliate Partners,637.35,36648,1716
2025-02-08,Google Ads,1018.07,70090,2988
2025-02-08,Meta Ads,1248.83,64196,2524
2025-02-08,LinkedIn Ads,696.55,40666,2986
2025-02-08,Email Marketing,235.11,21524,1307
2025-02-08,Affiliate Partners,599.04,33596,1754
2025-02-09,Google Ads,1943.98,177055,11460
2025-02-09,Meta Ads,951.06,66445,2776
2025-02-09,LinkedIn Ads,769.55,73271,3974
2025-02-09,Email Marketing,216.09,12343,360
2025-02-09,Affiliate Partners,667.56,44871,1330
2025-02-10,Google Ads,1322.28,82161,6063
2025-02-10,Meta Ads,992.64,55207,2841
2025-02-10,LinkedIn Ads,843.27,48777,2139
2025-02-10,Email Marketing,296.99,35003,2517
2025-02-10,Affiliate Partners,530.79,32888,1977
2025-02-11,Google Ads,1726.62,198658,10609
2025-02-11,Meta Ads,799.34,83023,2592
2025-02-11,LinkedIn Ads,886.94,64442,2933
2025-02-11,Email Marketing,202.35,11743,665
2025-02-11,Affiliate Partners,605.77,42527,2333
2025-02-12,Google Ads,1480.18,129191,2985
2025-02-12,Meta Ads,909.36,66894,1877
2025-02-12,LinkedIn Ads,961.01,65180,3968
2025-02-12,Email Marketing,265.39,27392,1526
2025-02-12,Affiliate Partners,303.4,22579,1710
2025-02-13,Google Ads,1260.93,136361,10622
2025-02-13,Meta Ads,1289.08,149125,4604
2025-02-13,LinkedIn Ads,703.36,38442,2478
2025-02-13,Email Marketing,370.07,22124,1498
2025-02-13,Affiliate Partners,630.53,40425,1205
2025-02-14,Google Ads,1618.34,156272,8029
2025-02-14,Meta Ads,1098.96,82552,5995
2025-02-14,LinkedIn Ads,992.19,80109,3413
2025-02-14,Email Marketing,275.52,22699,864
2025-02-14,Affiliate Partners,602.21,39899,2951
2025-02-15,Google Ads,2002.93,153970,8100
2025-02-15,Meta Ads,1256.55,73109,5584
2025-02-15,LinkedIn Ads,923.34,86738,3477
2025-02-15,Email Marketing,320.31,29918,1555
2025-02-15,Affiliate Partners,550.17,61933,4169
2025-02-16,Google Ads,1362.19,91803,5933
2025-02-16,Meta Ads,996.04,52139,2825
2025-02-16,LinkedIn Ads,876.64,64823,4490
2025-02-16,Email Marketing,320.02,18479,1308
2025-02-16,Affiliate Partners,567.62,60059,1741
2025-02-17,Google Ads,1206.37,79677,5046
2025-02-17,Meta Ads,1408.71,138865,7299
2025-02-17,LinkedIn Ads,1016.9,68768,2801
2025-02-17,Email Marketing,193.28,15914,1222
2025-02-17,Affiliate Partners,779.53,47344,2612
2025-02-18,Google Ads,2233.73,114518,8282
2025-02-18,Meta Ads,1231.01,141872,7648
2025-02-18,LinkedIn Ads,876.96,87263,2543
2025-02-18,Email Marketing,313.43,28315,1597
2025-02-18,Affiliate Partners,791.18,91306,6896
2025-02-19,Google Ads,1346.64,109829,2942
2025-02-19,Meta Ads,1213.37,110889,4872
2025-02-19,LinkedIn Ads,975.07,52491,2105
2025-02-19,Email Marketing,239.27,20964,1576
2025-02-19,Affiliate Partners,401.42,29802,1216
2025-02-20,Google Ads,1399.26,91962,4335
2025-02-20,Meta Ads,1600.57,95809,2930
2025-02-20,LinkedIn Ads,368.5,42023,1754
2025-02-20,Email Marketing,296.74,26897,1558
2025-02-20,Affiliate Partners,567.73,31778,2536
2025-02-21,Google Ads,1168.04,99463,5542
2025-02-21,Meta Ads,1203.34,77848,5751
2025-02-21,LinkedIn Ads,796.14,51239,1611
2025-02-21,Email Marketing,298.03,26685,638
2025-02-21,Affiliate Partners,534.79,55771,2632
2025-02-22,Google Ads,704.71,55004,2947
2025-02-22,Meta Ads,1461.96,88984,2751
2025-02-22,LinkedIn Ads,574.8,54651,2433
2025-02-22,Email Marketing,253.33,13116,385
2025-02-22,Affiliate Partners,712.28,36965,1231
2025-02-23,Google Ads,1881.47,124506,7509
2025-02-23,Meta Ads,1074.12,102784,3524
2025-02-23,LinkedIn Ads,878.3,50028,1730
2025-02-23,Email Marketing,342.66,37046,1623
2025-02-23,Affiliate Partners,653.31,63218,2041
2025-02-24,Google Ads,1677.93,85423,2146
2025-02-24,Meta Ads,1125.71,72666,1568
2025-02-24,LinkedIn Ads,852.18,67748,4983
2025-02-24,Email Marketing,224.93,24117,976
2025-02-24,Affiliate Partners,515.48,47073,1698
2025-02-25,Google Ads,1077.46,100947,4498
2025-02-25,Meta Ads,700.34,49452,3803
2025-02-25,LinkedIn Ads,1071.43,110842,3148
2025-02-25,Email Marketing,297.74,33531,2279
2025-02-25,Affiliate Partners,732.4,58419,1247
2025-02-26,Google Ads,1592.34,150226,5329
2025-02-26,Meta Ads,789.56,47180,3307
2025-02-26,LinkedIn Ads,802.95,49796,1809
2025-02-26,Email Marketing,320.85,16455,1231
2025-02-26,Affiliate Partners,623.5,43136,2297
2025-02-27,Google Ads,1206.49,115339,8048
2025-02-27,Meta Ads,1261.45,116098,6954
2025-02-27,LinkedIn Ads,957.23,59612,4462
2025-02-27,Email Marketing,189.55,16362,373
2025-02-27,Affiliate Partners,446.45,27519,1768
2025-02-28,Google Ads,1556.03,104525,4531
2025-02-28,Meta Ads,1018.71,71522,2956
2025-02-28,LinkedIn Ads,643.86,57720,2803
2025-02-28,Email Marketing,363.22,35034,2669
2025-02-28,Affiliate Partners,497.0,25934,926
2025-03-01,Google Ads,1710.09,156739,3618
2025-03-01,Meta Ads,1814.42,133173,8823
2025-03-01,LinkedIn Ads,784.63,45086,1104
2025-03-01,Email Marketing,297.9,29250,1348
2025-03-01,Affiliate Partners,812.5,54638,3778
2025-03-02,Google Ads,1689.72,116675,6465
2025-03-02,Meta Ads,1433.41,107890,2750
2025-03-02,LinkedIn Ads,788.09,49617,2605
2025-03-02,Email Marketing,337.24,37469,2395
2025-03-02,Affiliate Partners,667.17,65689,4660
2025-03-03,Google Ads,1824.23,123093,6076
2025-03-03,Meta Ads,1303.11,81627,4414
2025-03-03,LinkedIn Ads,833.23,95058,2094
2025-03-03,Email Marketing,235.14,26971,2110
2025-03-03,Affiliate Partners,726.38,84331,4086
2025-03-04,Google Ads,1508.5,109120,7609
2025-03-04,Meta Ads,1207.14,63484,3540
2025-03-04,LinkedIn Ads,730.48,40458,2499
2025-03-04,Email Marketing,281.45,20768,1318
2025-03-04,Affiliate Partners,577.58,50690,3418
2025-03-05,Google Ads,1368.08,98929,5693
2025-03-05,Meta Ads,1264.09,83818,1799
2025-03-05,LinkedIn Ads,942.34,104512,2223
2025-03-05,Email Marketing,304.94,35291,2397
2025-03-05,Affiliate Partners,727.86,87237,3580
2025-03-06,Google Ads,1344.81,112414,6480
2025-03-06,Meta Ads,1538.24,170987,13515
2025-03-06,LinkedIn Ads,728.72,57929,3722
2025-03-06,Email Marketing,387.2,25832,687
2025-03-06,Affiliate Partners,438.67,31031,1055
2025-03-07,Google Ads,1224.4,64827,1366
2025-03-07,Meta Ads,1191.68,91643,5569
2025-03-07,LinkedIn Ads,837.47,54668,4209
2025-03-07,Email Marketing,359.06,41698,2003
2025-03-07,Affiliate Partners,574.32,53376,1602
2025-03-08,Google Ads,1549.94,143433,7280
2025-03-08,Meta Ads,1318.19,87194,2667
2025-03-08,LinkedIn Ads,700.3,73230,3002
2025-03-08,Email Marketing,266.67,14413,1126
2025-03-08,Affiliate Partners,770.46,76060,2223
2025-03-09,Google Ads,1328.78,142322,4763
2025-03-09,Meta Ads,1248.7,114263,6262
2025-03-09,LinkedIn Ads,557.48,31444,2284
2025-03-09,Email Marketing,263.23,29537,2284
2025-03-09,Affiliate Partners,553.48,61075,4187
2025-03-10,Google Ads,1697.56,95214,4237
2025-03-10,Meta Ads,1682.45,128014,4555
2025-03-10,LinkedIn Ads,794.7,44243,1469
2025-03-10,Email Marketing,407.67,39881,979
2025-03-10,Affiliate Partners,598.03,50019,2778
2025-03-11,Google Ads,1856.52,199998,8173
2025-03-11,Meta Ads,1363.65,93672,6811
2025-03-11,LinkedIn Ads,1095.47,115922,6898
2025-03-11,Email Marketing,349.23,34511,2098
2025-03-11,Affiliate Partners,660.87,61661,4018
2025-03-12,Google Ads,1449.86,106504,6881
2025-03-12,Meta Ads,1235.21,75660,5226
2025-03-12,LinkedIn Ads,804.6,40589,1510
2025-03-12,Email Marketing,376.71,35103,2768
2025-03-12,Affiliate Partners,436.82,41226,2160
2025-03-13,Google Ads,1723.88,180298,4763
2025-03-13,Meta Ads,1259.85,147918,5992
2025-03-13,LinkedIn Ads,1052.39,99223,7533
2025-03-13,Email Marketing,273.21,19416,1213
2025-03-13,Affiliate Partners,623.29,34103,1873
2025-03-14,Google Ads,1858.51,98876,7147
2025-03-14,Meta Ads,834.44,98583,7702
2025-03-14,LinkedIn Ads,710.57,73244,1572
2025-03-14,Email Marketing,322.63,16631,655
2025-03-14,Affiliate Partners,787.86,77077,3603
2025-03-15,Google Ads,1480.27,102366,8171
2025-03-15,Meta Ads,852.48,52387,3546
2025-03-15,LinkedIn Ads,448.19,44172,1468
2025-03-15,Email Marketing,314.63,30146,1097
2025-03-15,Affiliate Partners,532.31,62046,1803
2025-03-16,Google Ads,1695.06,134555,7846
2025-03-16,Meta Ads,1176.2,91545,3337
2025-03-16,LinkedIn Ads,792.71,89248,3016
2025-03-16,Email Marketing,314.6,20423,446
2025-03-16,Affiliate Partners,449.82,49706,2405
2025-03-17,Google Ads,1933.13,227671,7087
2025-03-17,Meta Ads,1282.25,133308,9423
2025-03-17,LinkedIn Ads,873.08,90164,5191
2025-03-17,Email Marketing,311.79,32974,1612
2025-03-17,Affiliate Partners,685.08,39879,1097
2025-03-18,Google Ads,1297.08,83060,4111
2025-03-18,Meta Ads,1632.23,88947,4884
2025-03-18,LinkedIn Ads,934.5,67027,3171
2025-03-18,Email Marketing,260.84,13254,322
2025-03-18,Affiliate Partners,545.72,50207,1882
2025-03-19,Google Ads,772.84,76239,5459
2025-03-19,Meta Ads,967.93,64795,5131
2025-03-19,LinkedIn Ads,792.37,47521,2372
2025-03-19,Email Marketing,390.2,34796,716
2025-03-19,Affiliate Partners,705.28,51381,2623
2025-03-20,Google Ads,1425.85,74606,1843
2025-03-20,Meta Ads,1036.32,80610,2254
2025-03-20,LinkedIn Ads,1087.63,115333,3691
2025-03-20,Email Marketing,338.45,20890,548
2025-03-20,Affiliate Partners,767.92,40094,3054
2025-03-21,Google Ads,1777.39,95335,5002
2025-03-21,Meta Ads,1367.57,136738,9312
2025-03-21,LinkedIn Ads,862.96,63653,4385
2025-03-21,Email Marketing,379.04,30953,1814
2025-03-21,Affiliate Partners,623.71,54168,3461
2025-03-22,Google Ads,1304.57,144840,4801
2025-03-22,Meta Ads,1083.87,128232,5156
2025-03-22,LinkedIn Ads,883.65,84927,4237
2025-03-22,Email Marketing,265.58,23603,1490
2025-03-22,Affiliate Partners,604.56,38672,2351
2025-03-23,Google Ads,1536.01,84563,1846
2025-03-23,Meta Ads,1138.23,126092,8023
2025-03-23,LinkedIn Ads,533.03,54363,2475
2025-03-23,Email Marketing,226.45,26978,604
2025-03-23,Affiliate Partners,424.28,46963,2569
2025-03-24,Google Ads,2005.18,168568,12205
2025-03-24,Meta Ads,1089.87,123208,5581
2025-03-24,LinkedIn Ads,904.37,102976,3361
2025-03-24,Email Marketing,205.42,19228,1113
2025-03-24,Affiliate Partners,524.93,52549,3917
2025-03-25,Google Ads,1618.74,101297,3469
2025-03-25,Meta Ads,1193.87,80354,5805
2025-03-25,LinkedIn Ads,987.64,80167,4079
2025-03-25,Email Marketing,368.93,22669,985
2025-03-25,Affiliate Partners,391.23,46110,1636
2025-03-26,Google Ads,1111.6,115765,3224
2025-03-26,Meta Ads,1478.6,174308,8232
2025-03-26,LinkedIn Ads,812.29,59776,4168
2025-03-26,Email Marketing,223.02,17877,624
2025-03-26,Affiliate Partners,780.09,48126,1446
2025-03-27,Google Ads,1755.07,92258,5921
2025-03-27,Meta Ads,1122.81,122489,8370
2025-03-27,LinkedIn Ads,1132.28,103008,7426
2025-03-27,Email Marketing,284.46,19594,458
2025-03-27,Affiliate Partners,576.44,50254,3829
2025-03-28,Google Ads,1719.79,124050,6256
2025-03-28,Meta Ads,1180.63,62467,1805
2025-03-28,LinkedIn Ads,946.61,77462,3945
2025-03-28,Email Marketing,320.79,27016,1621
2025-03-28,Affiliate Partners,732.98,47005,2839
2025-03-29,Google Ads,1188.03,140061,3590
2025-03-29,Meta Ads,1050.3,116341,3563
2025-03-29,LinkedIn Ads,1106.25,108947,7657
2025-03-29,Email Marketing,309.03,26206,1495
2025-03-29,Affiliate Partners,643.8,71347,3869
2025-03-30,Google Ads,1831.66,119235,7098
2025-03-30,Meta Ads,1484.89,115183,6804
2025-03-30,LinkedIn Ads,848.42,101775,2329
2025-03-30,Email Marketing,254.74,30162,1339
2025-03-30,Affiliate Partners,638.56,57273,3683
2025-03-31,Google Ads,1626.58,181356,8024
2025-03-31,Meta Ads,1485.47,158275,10404
2025-03-31,LinkedIn Ads,603.58,63887,2947
2025-03-31,Email Marketing,291.0,25640,521
2025-03-31,Affiliate Partners,615.07,44728,1878
2025-04-01,Google Ads,1978.35,152726,7166
2025-04-01,Meta Ads,996.73,66410,2815
2025-04-01,LinkedIn Ads,1062.72,99220,4743
2025-04-01,Email Marketing,360.59,27615,1982
2025-04-01,Affiliate Partners,300.07,15542,629
2025-04-02,Google Ads,2187.28,167575,7361
2025-04-02,Meta Ads,1445.42,133778,8815
2025-04-02,LinkedIn Ads,1190.36,127260,8028
2025-04-02,Email Marketing,345.54,23166,1751
2025-04-02,Affiliate Partners,633.74,34360,2613
2025-04-03,Google Ads,1273.81,107014,3789
2025-04-03,Meta Ads,1132.64,79217,3044
2025-04-03,LinkedIn Ads,828.78,59499,3368
2025-04-03,Email Marketing,383.52,38402,1396
2025-04-03,Affiliate Partners,482.1,30218,1839
2025-04-04,Google Ads,1432.61,89825,4626
2025-04-04,Meta Ads,1055.67,94706,3352
2025-04-04,LinkedIn Ads,851.17,99930,4897
2025-04-04,Email Marketing,313.43,16624,964
2025-04-04,Affiliate Partners,763.7,89045,4995
2025-04-05,Google Ads,1514.66,99915,3269
2025-04-05,Meta Ads,1209.74,112226,5012
2025-04-05,LinkedIn Ads,600.98,62884,2294
2025-04-05,Email Marketing,258.43,27802,1262
2025-04-05,Affiliate Partners,519.18,48631,2290
2025-04-06,Google Ads,1583.7,144215,4338
2025-04-06,Meta Ads,1352.11,88119,2268
2025-04-06,LinkedIn Ads,866.21,44743,2618
2025-04-06,Email Marketing,357.83,23701,1029
2025-04-06,Affiliate Partners,865.26,79269,3948
2025-04-07,Google Ads,1258.9,100679,6348
2025-04-07,Meta Ads,1593.39,156901,12469
2025-04-07,LinkedIn Ads,891.04,61651,1526
2025-04-07,Email Marketing,397.7,22269,1640
2025-04-07,Affiliate Partners,530.2,34922,1442
2025-04-08,Google Ads,1195.57,65588,3354
2025-04-08,Meta Ads,1256.11,140188,8278
2025-04-08,LinkedIn Ads,551.06,48111,1898
2025-04-08,Email Marketing,373.66,44685,2668
2025-04-08,Affiliate Partners,454.84,40501,2585
2025-04-09,Google Ads,1288.5,115141,8918
2025-04-09,Meta Ads,1186.62,73891,4536
2025-04-09,LinkedIn Ads,827.1,46952,2207
2025-04-09,Email Marketing,215.18,22148,904
2025-04-09,Affiliate Partners,730.96,83988,2862
2025-04-10,Google Ads,1682.74,131173,3823
2025-04-10,Meta Ads,1491.14,128934,7402
2025-04-10,LinkedIn Ads,822.67,46266,3021
2025-04-10,Email Marketing,308.01,32261,2017
2025-04-10,Affiliate Partners,581.7,30557,1166
2025-04-11,Google Ads,1264.2,70966,5408
2025-04-11,Meta Ads,880.5,78158,2995
2025-04-11,LinkedIn Ads,623.46,57384,2923
2025-04-11,Email Marketing,170.83,19535,973
2025-04-11,Affiliate Partners,609.82,46738,3396
2025-04-12,Google Ads,1470.33,162859,11132
2025-04-12,Meta Ads,1039.66,57871,2556
2025-04-12,LinkedIn Ads,958.73,59581,3675
2025-04-12,Email Marketing,301.69,28620,1984
2025-04-12,Affiliate Partners,598.91,35501,2546
2025-04-13,Google Ads,1492.49,137962,9090
2025-04-13,Meta Ads,1396.26,86901,4358
2025-04-13,LinkedIn Ads,629.58,47676,1148
2025-04-13,Email Marketing,281.69,14593,410
2025-04-13,Affiliate Partners,606.8,71364,3279
2025-04-14,Google Ads,1658.91,119154,6001
2025-04-14,Meta Ads,974.56,92444,3047
2025-04-14,LinkedIn Ads,776.95,72544,4280
2025-04-14,Email Marketing,287.19,15528,1237
2025-04-14,Affiliate Partners,778.89,42094,2597
2025-04-15,Google Ads,1315.98,129559,3075
2025-04-15,Meta Ads,1127.41,96573,7706
2025-04-15,LinkedIn Ads,869.91,62144,3569
2025-04-15,Email Marketing,371.44,32275,1470
2025-04-15,Affiliate Partners,435.97,33022,1480
2025-04-16,Google Ads,1432.57,154613,9897
2025-04-16,Meta Ads,1061.64,54508,1939
2025-04-16,LinkedIn Ads,385.43,39784,1122
2025-04-16,Email Marketing,211.27,10742,370
2025-04-16,Affiliate Partners,622.0,73589,5010
2025-04-17,Google Ads,1495.41,86257,4561
2025-04-17,Meta Ads,1339.03,109541,7740
2025-04-17,LinkedIn Ads,795.63,48138,1900
2025-04-17,Email Marketing,244.0,24794,1204
2025-04-17,Affiliate Partners,435.37,35770,2400
2025-04-18,Google Ads,1015.93,114237,8832
2025-04-18,Meta Ads,1039.42,102039,4719
2025-04-18,LinkedIn Ads,966.38,65546,4617
2025-04-18,Email Marketing,429.44,41292,3043
2025-04-18,Affiliate Partners,527.31,49866,2834
2025-04-19,Google Ads,1509.6,91348,5868
2025-04-19,Meta Ads,1019.18,87502,5321
2025-04-19,LinkedIn Ads,741.55,40776,845
2025-04-19,Email Marketing,311.08,36382,2337
2025-04-19,Affiliate Partners,438.34,32647,2170
2025-04-20,Google Ads,1208.52,116375,3620
2025-04-20,Meta Ads,1484.57,101772,2163
2025-04-20,LinkedIn Ads,915.03,51014,3982
2025-04-20,Email Marketing,359.76,33719,1447
2025-04-20,Affiliate Partners,509.18,32790,894
2025-04-21,Google Ads,1898.46,180492,9352
2025-04-21,Meta Ads,1333.5,70590,5513
2025-04-21,LinkedIn Ads,697.04,82667,4638
2025-04-21,Email Marketing,355.67,32284,2094
2025-04-21,Affiliate Partners,664.6,39189,1579
2025-04-22,Google Ads,1821.75,209439,7011
